price,brand,model,year,title_status,color,state,country,condition,km
25000,ford,door,2014,clean vehicle,blue,virginia, usa,22 hours left,103232.72364
27700,chevrolet,1500,2018,clean vehicle,red,florida, usa,22 hours left,10708.54836
13350,gmc,door,2017,clean vehicle,gray,california, usa,20 hours left,37859.7235
14600,chevrolet,malibu,2018,clean vehicle,silver,florida, usa,22 hours left,15081.12514
10400,dodge,coupe,2009,clean vehicle,orange,georgia, usa,22 hours left,173576.97504
12920,gmc,mpv,2017,clean vehicle,white,california, usa,20 hours left,63810.331
31900,chevrolet,1500,2018,clean vehicle,black,tennessee, usa,22 hours left,36868.37006
20700,ford,door,2013,clean vehicle,black,virginia, usa,22 hours left,162152.27038
12710,gmc,door,2017,clean vehicle,white,california, usa,20 hours left,41435.67698
16500,buick,encore,2018,clean vehicle,red,tennessee, usa,22 hours left,32190.01868
38100,ford,door,2013,clean vehicle,gray,virginia, usa,22 hours left,87515.9092
12520,gmc,door,2017,clean vehicle,white,california, usa,20 hours left,48463.66476
15000,chevrolet,door,2015,clean vehicle,black,ohio, usa,2 days left,99099.93852
20800,ford,door,2013,clean vehicle,silver,virginia, usa,22 hours left,169801.4634
11900,gmc,door,2017,clean vehicle,silver,california, usa,20 hours left,45125.8936
21500,kia,sorento,2020,clean vehicle,blue,north carolina, usa,2 days left,18428.55234
12000,buick,door,2014,clean vehicle,brown,ohio, usa,2 days left,49952.30426
13000,ford,chassis,2008,clean vehicle,white,tennessee, usa,22 hours left,150791.93932
12710,gmc,door,2017,clean vehicle,silver,california, usa,20 hours left,42428.63976
18500,infiniti,q70,2016,clean vehicle,gray,new york, usa,19 hours left,115819.37178
13000,ford,convertible,2003,clean vehicle,gray,virginia, usa,22 hours left,94656.55078
11900,gmc,door,2017,clean vehicle,black,california, usa,20 hours left,45005.1931
16600,mercedes-benz,vans,2016,clean vehicle,white,new york, usa,19 hours left,178487.07138
19200,chevrolet,1500,2018,clean vehicle,white,tennessee, usa,22 hours left,3910.6962
12710,gmc,door,2017,clean vehicle,white,california, usa,20 hours left,48359.05766
16600,mercedes-benz,vans,2016,clean vehicle,white,new york, usa,19 hours left,157687.96122
30500,chevrolet,1500,2018,clean vehicle,red,tennessee, usa,22 hours left,48991.52828
55000,ford,srw,2017,clean vehicle,black,pennsylvania, usa,3 days left,24579.44982
12520,gmc,door,2017,clean vehicle,black,california, usa,20 hours left,46625.79848
16200,jeep,compass,2019,clean vehicle,red,north carolina, usa,2 days left,48378.36974
19000,chevrolet,malibu,2017,clean vehicle,white,tennessee, usa,22 hours left,29634.38676
54000,ford,srw,2017,clean vehicle,black,pennsylvania, usa,3 days left,42230.69094
12710,gmc,mpv,2017,clean vehicle,red,california, usa,20 hours left,64190.13524
16000,jeep,compass,2019,clean vehicle,silver,north carolina, usa,2 days left,50845.48796
27000,buick,enclave,2017,clean vehicle,no_color,tennessee, usa,22 hours left,51671.07938
19600,chrysler,300,2019,clean vehicle,gray,south carolina, usa,22 hours left,68635.13232
12920,gmc,mpv,2017,clean vehicle,silver,california, usa,20 hours left,63029.8011
20000,jeep,cherokee,2019,clean vehicle,charcoal,north carolina, usa,2 days left,61726.2357
18100,buick,door,2017,clean vehicle,silver,florida, usa,2 days left,75262.39444
23000,chrysler,pacifica,2020,clean vehicle,white,ohio, usa,2 days left,3979.89782
18500,chrysler,300,2019,clean vehicle,gray,south carolina, usa,22 hours left,62097.993239999996
13490,gmc,door,2017,clean vehicle,white,california, usa,20 hours left,44807.24428
20700,jeep,cherokee,2019,clean vehicle,white,north carolina, usa,2 days left,50140.59704
17800,chevrolet,door,2017,clean vehicle,black,florida, usa,22 hours left,84385.7429
29100,chrysler,pacifica,2019,clean vehicle,red,south carolina, usa,22 hours left,40685.72454
12710,gmc,door,2017,clean vehicle,silver,california, usa,20 hours left,52309.98736
21100,jeep,cherokee,2019,clean vehicle,silver,north carolina, usa,2 days left,46105.98166
18600,chevrolet,door,2017,clean vehicle,white,florida, usa,22 hours left,56648.768
19300,chrysler,300,2019,clean vehicle,gray,south carolina, usa,22 hours left,56006.64134
12780,gmc,door,2017,clean vehicle,black,california, usa,20 hours left,49904.02406
15800,jeep,compass,2019,clean vehicle,charcoal,north carolina, usa,2 days left,57284.4573
29400,bmw,x3,2017,clean vehicle,black,tennessee, usa,22 hours left,38245.9651
